Text Date Genre Wordcount
chaplain-e1-p2 1506 TRAVELOGUE 5244
charles-1650-e3-p1 1656?-1657? LETTERS_NON-PRIV 964
charles-1670-e3-h 1672-1679 LETTERS_NON-PRIV 825
charles-1670-e3-p2 1672-1679 LETTERS_NON-PRIV 1071
chatton-e3-h 1689-1692 LETTERS_PRIV 587
chatton-e3-p1 1689-1692 LETTERS_PRIV 752
chatton-e3-p2 1689-1692 LETTERS_PRIV 581
clowes-e2-h 1602 SCIENCE_MEDICINE 7133
clowes-e2-p1 1602 SCIENCE_MEDICINE 7340
clowes-e2-p2 1602 SCIENCE_MEDICINE 5124
clowesobs-e2-p2 1596 SCIENCE_MEDICINE 2077
commiss-e3-h 1673 LETTERS_NON-PRIV 725
conway-e2-h 1623 LETTERS_NON-PRIV 1668
conway2-e3-p2 1675 LETTERS_NON-PRIV 714
counc-e3-h 1688 LETTERS_NON-PRIV 194
coverte-e2-h 1612 TRAVELOGUE 5934
coverte-e2-p1 1612 TRAVELOGUE 6240
coverte-e2-p2 1612 TRAVELOGUE 6030
cromwell-e1-h 1537 LETTERS_NON-PRIV 435
cromwell-e1-p1 c1530 LETTERS_NON-PRIV 510
cromwell-e1-p2 c1530 LETTERS_NON-PRIV 870
dacre-e1-p2 1513 LETTERS_NON-PRIV 996
delapole-e1-p1 1538 LETTERS_PRIV 260
dell-e3-p1 1688 LETTERS_NON-PRIV 581
deloney-e2-h 1597 FICTION 7333
deloney-e2-p1 1597 FICTION 8263
deloney-e2-p2 1597 FICTION 7744
dering-e3-p2 1647 LETTERS_PRIV 1752
dplumpt-e1-h c1504-1509 LETTERS_PRIV 393
drummond-e3-p1 1690 LETTERS_NON-PRIV 2065
ebeaum-e1-h beginning_of_1500s LETTERS_PRIV 399
ecumberl-e1-h 1543-1547 LETTERS_PRIV 187
edmondes-e2-h 1599 LETTERS_NON-PRIV 1269
edmondes-e2-p1 1599 LETTERS_NON-PRIV 1811
edmondes-e2-p2 1599 LETTERS_NON-PRIV 1096
edward-e1-h 1550-1552 DIARY_PRIV 6269
edward-e1-p1 1550-1552 DIARY_PRIV 6611
edward-e1-p2 1550-1552 DIARY_PRIV 6766
ehatton-e3-h 1666 LETTERS_PRIV 862
ehatton2-e3-p2 1690 LETTERS_PRIV 361
eliz-1560-e1-p2 1566 LETTERS_NON-PRIV 311
eliz-1570-e2-p2 1571-1575 LETTERS_NON-PRIV 1075
eliz-1580-e2-p1 1582-1588 LETTERS_NON-PRIV 1655
eliz-1590-e2-h 1598-c1600 LETTERS_NON-PRIV 1564
eliz-1590-e2-p2 1598-c1600 LETTERS_NON-PRIV 300
elyot-e1-h 1531 EDUC_TREATISE 5537
elyot-e1-p1 1531 EDUC_TREATISE 5676
elyot-e1-p2 1531 EDUC_TREATISE 5988
eoxinden-1650-e3-p1 1658 LETTERS_PRIV 344
eoxinden-1660-e3-h 1662-1667 LETTERS_PRIV 1867
eoxinden-1660-e3-p1 1662-1667 LETTERS_PRIV 520
eoxinden-1680-e3-p1 1680 LETTERS_PRIV 560
epoole-e1-p2 1501-1504 LETTERS_PRIV 906
essex-e2-h 1600 PROCEEDINGS_TRIAL 5985
essex-e2-p1 1600 PROCEEDINGS_TRIAL 3231
essexstate-e2-p1 1600 PROCEEDINGS_TRIAL 3340
essexstate-e2-p2 1600 PROCEEDINGS_TRIAL 6519
